"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","5729","964","null","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","4942","753","null","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","3598","536","null","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","4768","829","null","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","1980","335","null","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","3201","414","null","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","4806","871","null","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","4356","517","null","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","2351","516","null","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","3001","496","null","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","4536","761","null","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","3145","573","null","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","4022","657","null","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","3911","726","null","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","1131","196","null","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","3127","393","null","null",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","2072","332","null","null",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","2712","419","null","null",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","2492","356","null","null",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","1488","171","null","null",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","4715","740","null","null",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","3283","487","null","null",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","4155","620","null","null",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","2894","341","null","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","3049","502","null","null",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","2754","443","null","null",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","4484","540","null","null",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","3148","477","null","null",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","2925","384","null","null",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","3169","434","null","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","2805","398","null","null",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","3190","395","null","null",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","2203","225","null","null",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","1699","266","null","null",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","1615","175","null","null",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","2379","417","null","null",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","972","240","null","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","1045","226","null","null",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","1750","296","null","null",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","2080","375","null","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","878","288","null","null",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","2325","478","null","null",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","3074","614","null","null",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","7302","1341","null","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","6349","1244","null","null",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","1170","235","null","null",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","4483","625","null","null",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","1281","259","null","null",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","6021","1079","null","null",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","5699","1107","null","null",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","1713","381","null","null",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","1282","214","null","null",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","2443","335","null","null",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","1677","271","null","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","1872","268","null","null",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","1373","233","null","null",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","983","175","null","null",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","1935","263","null","null",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","3441","475","null","null",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","1775","249","null","null",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","1982","211","null","null",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","5503","837","null","null",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","2981","338","null","null",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","3325","462","null","null",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","4755","781","null","null",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","3813","628","null","null",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","3802","455","null","null",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","3394","483","null","null",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","3004","344","null","null",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","3245","475","null","null",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","5079","693","null","null",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","1704","285","null","null",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","1637","247","null","null",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","1836","292","null","null",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","2134","383","null","null",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","2230","421","null","null",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","2191","412","null","null",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","2261","306","null","null",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","2982","523","null","null",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","4031","626","null","null",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","2922","457","null","null",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","5433","831","null","null",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","5471","836","null","null",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","7141","888","null","null",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","4383","751","null","null",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","5430","971","null","null",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","2607","524","null","null",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","997","244","null","null",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","4763","716","null","null",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","4527","1064","null","null",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","3920","732","null","null",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","3894","632","null","null",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","4601","1240","null","null",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","4300","1263","null","null",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","1262","279","null","null",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","5175","1092","null","null",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","4763","949","null","null",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","4958","935","null","null",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","1289","398","null","null",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","6452","1294","null","null",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","2672","513","null","null",
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","4385","849","null","null",
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","1200","336","null","null",
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","873","308","null","null",
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","1777","495","null","null",
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","1158","340","null","null",
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","1733","470","null","null",
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","2097","471","null","null",
"1400000US17031260700","Census Tract 2607, Cook County, Illinois","1633","421","null","null",
"1400000US17031260800","Census Tract 2608, Cook County, Illinois","2328","605","null","null",
"1400000US17031260900","Census Tract 2609, Cook County, Illinois","1419","424","null","null",
"1400000US17031261000","Census Tract 2610, Cook County, Illinois","2271","490","null","null",
"1400000US17031270500","Census Tract 2705, Cook County, Illinois","1285","305","null","null",
"1400000US17031271200","Census Tract 2712, Cook County, Illinois","1273","357","null","null",
"1400000US17031271300","Census Tract 2713, Cook County, Illinois","1122","287","null","null",
